PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	STUDY	BIOENTITY	ANNOTATOR	ANNOTATION_DATE
treatment	control	http://www.orpha.net/ORDO/Orphanet_731	E-GEOD-28477	GSM703800	Eleanor Williams	01/10/2014 18:34
treatment	none	http://www.orpha.net/ORDO/Orphanet_718	E-GEOD-32322	GSM800733	Eleanor Williams	01/10/2014 18:34
treatment	saline	http://www.orpha.net/ORDO/Orphanet_717	E-GEOD-55247	GSM1332389	Eleanor Williams	01/10/2014 18:35
treatment	control	http://www.orpha.net/ORDO/Orphanet_716	E-MIMR-461	csc.mrc.ac.uk:mimir/Hybridization:ATB2006090406A	Eleanor Williams	01/10/2014 18:37
treatment	none	http://www.orpha.net/ORDO/Orphanet_713	E-MTAB-2973	Sample3	Eleanor Williams	01/10/2014 18:38
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_709	E-MAXD-6	Drosophila melanogaster larvae	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_679	E-MEXP-1208	Ada2a_1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_677	E-MEXP-1246	coa_mutant_pistils_1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_676	E-MEXP-1312	CS 1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_673	E-MEXP-1412	CB1_CD133_G0	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_668	E-MEXP-1431	M2-C1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_666	E-MEXP-1503	Ercc1-D1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_664	E-MEXP-1586	A127-01	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_661	E-MEXP-1784	col-0	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_660	E-MEXP-1900	Control 1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_656	E-MEXP-2730	Senia-1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_655	E-MEXP-3181	Mutant Replicate 1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_654	E-MEXP-3397	2ABA_1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_652	E-MEXP-342	Arabidopsis thaliana	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_648	E-MEXP-3628	R1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_646	E-MEXP-475	Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181026	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_641	E-MEXP-502	hyb1268	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_637	E-MEXP-558	StriaMutant1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_636	E-MEXP-563	HPVE6.1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_635	E-MEXP-755	mice 1-control	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_631	E-MEXP-793	BMI1-a1	Eleanor Williams	26/11/2014 21:28
biosource type	fresh_sample	http://www.orpha.net/ORDO/Orphanet_626	E-MEXP-886	Ataxin1KO-1307	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_622	E-GEOD-2210	GSE2210GSM40306	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_618	E-MEXP-1025	acute 1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_616	E-MEXP-1099	heterozygote_repl1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_611	E-MEXP-1262	ahk23-1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_610	E-MEXP-2144	Systemic-W4	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_607	E-MEXP-2178	Col0-1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_606	E-MEXP-2714	0G_1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_602	E-MEXP-2792	Atwrky12-1-1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_599	E-MEXP-3186	Mock ire1 1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_597	E-MEXP-3478	ko_1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_595	E-MEXP-3714	ahk2ahk3 -cold 1set	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_593	E-MEXP-634	gata3-1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_592	E-MEXP-731	SAMPLE188144SUB2506	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_590	E-MEXP-883	Col-0 MeJA rep1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_589	E-MEXP-939	tg-1	Eleanor Williams	26/11/2014 21:28
biosource type	frozen_sample	http://www.orpha.net/ORDO/Orphanet_588	E-TABM-358	specific pathogen-free (SPF) chick 1	Eleanor Williams	26/11/2014 21:28
BioSourceType	fresh_sample	http://www.orpha.net/ORDO/Orphanet_586	E-MEXP-1703	col 0G_1	Eleanor Williams	26/11/2014 21:28
BioSourceType	fresh_sample	http://www.orpha.net/ORDO/Orphanet_580	E-MTAB-698	FemaleVNO1_RNA	Eleanor Williams	26/11/2014 21:28
cell line	BT-474	http://www.orpha.net/ORDO/Orphanet_579	E-GEOD-5823	GSE5823GSM136079	Eleanor Williams	26/11/2014 21:28
cell line	BT-549	http://www.orpha.net/ORDO/Orphanet_569	E-MTAB-2980	CCLE-BT-549-RNA-08	Eleanor Williams	26/11/2014 21:28
cell line	H460	http://www.orpha.net/ORDO/Orphanet_568	E-GEOD-55859	GSM1347633 1	Eleanor Williams	26/11/2014 21:28
cell line	HCC-1428/LTED	http://www.orpha.net/ORDO/Orphanet_558	E-GEOD-22533	GSM559513 1	Eleanor Williams	26/11/2014 21:28
cell line	HEK 293	http://www.orpha.net/ORDO/Orphanet_557	E-GEOD-1676	GSE1676GSM28644	Eleanor Williams	26/11/2014 21:28
cell line	HFDPC cell line	http://www.orpha.net/ORDO/Orphanet_553	E-GEOD-26284	GSM981258 1	Eleanor Williams	26/11/2014 21:28
cell line	HMEC cell line	http://www.orpha.net/ORDO/Orphanet_552	E-GEOD-26284	GSM758571 1	Eleanor Williams	26/11/2014 21:28
cell line	hMSC-AT cell line	http://www.orpha.net/ORDO/Orphanet_549	E-GEOD-26284	GSM981260 1	Eleanor Williams	26/11/2014 21:28
cell line	HPC-PL cell line	http://www.orpha.net/ORDO/Orphanet_547	E-GEOD-26284	GSM981255 1	Eleanor Williams	26/11/2014 21:28
cell line	Hs 578T	http://www.orpha.net/ORDO/Orphanet_545	E-MTAB-2980	CCLE-Hs 578T-RNA-08	Eleanor Williams	26/11/2014 21:28
cell line	HSMM cell line	http://www.orpha.net/ORDO/Orphanet_544	E-GEOD-26284	GSM758578 1	Eleanor Williams	26/11/2014 21:28
cell line	Malme-3M	http://www.orpha.net/ORDO/Orphanet_543	E-MTAB-2980	CCLE-Malme-3M-RNA-08	Eleanor Williams	26/11/2014 21:28
cell line	MCF-7/LTED	http://www.orpha.net/ORDO/Orphanet_542	E-GEOD-22533	GSM559508 1	Eleanor Williams	26/11/2014 21:28
cell line	MDA-MB-436	http://www.orpha.net/ORDO/Orphanet_541	E-GEOD-17636	GSM440192 1	Eleanor Williams	26/11/2014 21:28
cell line	MEG-01	http://www.orpha.net/ORDO/Orphanet_540	E-MEXP-1482	Empty-01	Eleanor Williams	26/11/2014 21:28
cell line	NHEK cell line	http://www.orpha.net/ORDO/Orphanet_538	E-GEOD-26284	GSM765400 1	Eleanor Williams	26/11/2014 21:28
cell line	NHLF cell line	http://www.orpha.net/ORDO/Orphanet_535	E-GEOD-26284	GSM765394 1	Eleanor Williams	26/11/2014 21:28
cell line	NIH-3T3	http://www.orpha.net/ORDO/Orphanet_524	E-GEOD-2192	GSE2192GSM39260	Eleanor Williams	26/11/2014 21:28
cell line	NTera-2	http://www.orpha.net/ORDO/Orphanet_523	E-GEOD-59234	GSM1431077 1	Eleanor Williams	26/11/2014 21:28
cell line	OVCAR8	http://www.orpha.net/ORDO/Orphanet_521	E-GEOD-12854	GSE12854GSM322541	Eleanor Williams	26/11/2014 21:28
cell line	RPMI 8226	http://www.orpha.net/ORDO/Orphanet_520	E-MTAB-2980	CCLE-RPMI 8226-RNA-08	Eleanor Williams	26/11/2014 21:28
cell line	SK-OV-3	http://www.orpha.net/ORDO/Orphanet_519	E-MTAB-2980	CCLE-SK-OV-3-RNA-08	Eleanor Williams	26/11/2014 21:28
cell line	SKBR-3	http://www.orpha.net/ORDO/Orphanet_518	E-MEXP-2417	Control 2	Eleanor Williams	26/11/2014 21:28
cell line	ZR75-1	http://www.orpha.net/ORDO/Orphanet_517	E-GEOD-19639	GSM490050 1	Eleanor Williams	26/11/2014 21:28
cell type	cortex cells	http://www.orpha.net/ORDO/Orphanet_514	E-GEOD-7641	GSE7641GSM184915	Eleanor Williams	26/11/2014 21:28
cell type	mesenchymal cell	http://www.orpha.net/ORDO/Orphanet_513	E-MTAB-2923	Ng2-YFP	Eleanor Williams	26/11/2014 21:28
cell type	T-Lymphoma cells	http://www.orpha.net/ORDO/Orphanet_474	E-GEOD-2413	GSE2413GSM45463	Eleanor Williams	26/11/2014 21:28
cell type	T-Lymphoma cells	http://www.orpha.net/ORDO/Orphanet_467	E-GEOD-2413	GSE2413GSM45463	Eleanor Williams	26/11/2014 21:28
cellular component	exosome	http://www.orpha.net/ORDO/Orphanet_461	E-GEOD-56825	GSM1369937 1	Eleanor Williams	26/11/2014 21:28
cellular component	whole cell	http://www.orpha.net/ORDO/Orphanet_457	E-GEOD-26284	GSM758578 1	Eleanor Williams	26/11/2014 21:28
cellular component	whole cell	http://www.orpha.net/ORDO/Orphanet_449	E-GEOD-56825	GSM1369928 1	Eleanor Williams	26/11/2014 21:28
compound	9-cis-retinoic acid	http://www.orpha.net/ORDO/Orphanet_448	E-MEXP-2417	H_RA 1	Eleanor Williams	26/11/2014 21:28
compound	biomineralized insulin	http://www.orpha.net/ORDO/Orphanet_447	E-GEOD-57817	GSM1394572	Eleanor Williams	26/11/2014 21:28
compound	DMSO control	http://www.orpha.net/ORDO/Orphanet_442	E-GEOD-53965	GSM1304428	Eleanor Williams	26/11/2014 21:28
compound	DMSO control	http://www.orpha.net/ORDO/Orphanet_423	E-TABM-673	UOB-1_sr1_DMSO_01.CEL	Eleanor Williams	26/11/2014 21:28
compound	vehicle control	http://www.orpha.net/ORDO/Orphanet_418	E-GEOD-11959	"vehicle, biological replicate 4"	Eleanor Williams	26/11/2014 21:28
compound	vehicle control	http://www.orpha.net/ORDO/Orphanet_416	E-GEOD-2225	control - Rep 1	Eleanor Williams	26/11/2014 21:28
developmental stage	DN1	http://www.orpha.net/ORDO/Orphanet_415	E-GEOD-31234	GSM774304 1	Eleanor Williams	26/11/2014 21:28
developmental stage	DN3	http://www.orpha.net/ORDO/Orphanet_407	E-GEOD-31234	GSM774310 1	Eleanor Williams	26/11/2014 21:28
developmental stage	embryonic day 11.5	http://www.orpha.net/ORDO/Orphanet_400	E-GEOD-3822	GSE3822GSM87677	Eleanor Williams	26/11/2014 21:28
developmental stage	embryonic day 11.5	http://www.orpha.net/ORDO/Orphanet_399	E-GEOD-39605	GSM972923 1	Eleanor Williams	26/11/2014 21:28
developmental stage	embryonic day 18.5	http://www.orpha.net/ORDO/Orphanet_395	E-GEOD-8199	GSE8199GSM202772	Eleanor Williams	26/11/2014 21:28
developmental stage	embryonic day 18.5	http://www.orpha.net/ORDO/Orphanet_394	E-TABM-275	Mus musculus male embryo 1	Eleanor Williams	26/11/2014 21:28
developmental stage	enclosing embryo Ce	http://www.orpha.net/ORDO/Orphanet_391	E-MTAB-2812	SRS266270	Eleanor Williams	26/11/2014 21:28
developmental stage	fully-elongated embryo Ce	http://www.orpha.net/ORDO/Orphanet_389	E-MTAB-2812	SRS003003	Eleanor Williams	26/11/2014 21:28
developmental stage	gastrulating embryo Ce	http://www.orpha.net/ORDO/Orphanet_385	E-MTAB-2812	SRS242382	Eleanor Williams	26/11/2014 21:28
developmental stage	L1 larva Ce	http://www.orpha.net/ORDO/Orphanet_379	E-MTAB-2812	SRS002999	Eleanor Williams	26/11/2014 21:28
developmental stage	L2 larva Ce	http://www.orpha.net/ORDO/Orphanet_377	E-MTAB-2812	SRS001788	Eleanor Williams	26/11/2014 21:28
developmental stage	L2d-dauer molt Ce	http://www.orpha.net/ORDO/Orphanet_375	E-MTAB-2812	SRS004860	Eleanor Williams	26/11/2014 21:28
developmental stage	L3 larva Ce	http://www.orpha.net/ORDO/Orphanet_371	E-MTAB-2812	SRS001790	Eleanor Williams	26/11/2014 21:28
developmental stage	L4 larva Ce	http://www.orpha.net/ORDO/Orphanet_370	E-MTAB-2812	SRS001791	Eleanor Williams	26/11/2014 21:28
developmental stage	lamb	http://www.orpha.net/ORDO/Orphanet_368	E-MTAB-2330	PSLN_K343	Eleanor Williams	26/11/2014 21:28
developmental stage	lamb	http://www.orpha.net/ORDO/Orphanet_367	E-MTAB-2385	OB_K345	Eleanor Williams	26/11/2014 21:28
developmental stage	late cleavage stage embryo Ce	http://www.orpha.net/ORDO/Orphanet_366	E-MTAB-2812	SRS266265	Eleanor Williams	26/11/2014 21:28
developmental stage	newly molted young adult hermaphrodite Ce	http://www.orpha.net/ORDO/Orphanet_365	E-MTAB-2812	SRS001789	Eleanor Williams	26/11/2014 21:28
developmental stage	post menopause	http://www.orpha.net/ORDO/Orphanet_360	E-GEOD-22035	GSM547809 1	Eleanor Williams	26/11/2014 21:28
developmental stage	rosette stage	http://www.orpha.net/ORDO/Orphanet_358	E-GEOD-5684	GSE5684GSM133033	Eleanor Williams	26/11/2014 21:28
developmental stage	rosette stage	http://www.orpha.net/ORDO/Orphanet_355	E-GEOD-5686	GSE5686GSM133087	Eleanor Williams	26/11/2014 21:28
developmental stage	young	http://www.orpha.net/ORDO/Orphanet_352	E-MEXP-1074	27S	Eleanor Williams	26/11/2014 21:28
developmental stage	young	http://www.orpha.net/ORDO/Orphanet_347	E-MTAB-2782	17li_(MoGene-1_0-st-v1)	Eleanor Williams	26/11/2014 21:28
disease	squamous-cell carcinoma	http://www.orpha.net/ORDO/Orphanet_342	E-GEOD-60439	GSM1480177 1	Eleanor Williams	26/11/2014 21:28
disease	Type 2 diabetes	http://www.orpha.net/ORDO/Orphanet_335	E-GEOD-57817	GSM1394568 1	Eleanor Williams	26/11/2014 21:28
disease	type 2 diabetes	http://www.orpha.net/ORDO/Orphanet_331	E-MEXP-2559	exp 1-4	Eleanor Williams	26/11/2014 21:28
growth condition	0.3 millimolar salicylic acid	http://www.orpha.net/ORDO/Orphanet_329	E-TABM-51	346	Eleanor Williams	26/11/2014 21:28
growth condition	5-aza-2-deoxycytidine 20 milligram per liter	http://www.orpha.net/ORDO/Orphanet_327	E-GEOD-25067	GSM615830	Eleanor Williams	26/11/2014 21:28
growth condition	GA4	http://www.orpha.net/ORDO/Orphanet_324	E-GEOD-8739	ga1-3_shoots_1h_GA4_repl1	Eleanor Williams	26/11/2014 21:28
growth condition	Pseudomonas syringae DC3000	http://www.orpha.net/ORDO/Orphanet_321	E-GEOD-6176	MG001_ATH1_A25-Torres-8N1	Eleanor Williams	26/11/2014 21:28
initial time point	flowering	http://www.orpha.net/ORDO/Orphanet_320	E-MEXP-1282	34EL06_24	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_319	E-GEOD-29814	GSM738877 1	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_318	E-MEXP-1262	ahk234-1	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_313	E-MEXP-1578	WT2	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_303	E-MEXP-2140	pkr2_pkl_a	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_302	E-MEXP-2229	XW119 0hr-3	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_301	E-MEXP-2240	MH0103	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_289	E-MEXP-2494	CTLVI-2	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_286	E-MEXP-2792	Atwrky12-1-2	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_284	E-MEXP-2965	myb96ox C	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_280	E-MEXP-3397	DEX_2	Eleanor Williams	26/11/2014 21:28
initial time point	germination	http://www.orpha.net/ORDO/Orphanet_273	E-MEXP-3714	ahk2ahk3 -cold 3set	Eleanor Williams	26/11/2014 21:28
organism part	fallopian tube	http://www.orpha.net/ORDO/Orphanet_269	E-MTAB-2836	fallopiantube_8b	Eleanor Williams	26/11/2014 21:28
organism part	knee	http://www.orpha.net/ORDO/Orphanet_268			Eleanor Williams	26/11/2014 21:28
organism part	knee articular cartilage	http://www.orpha.net/ORDO/Orphanet_266	E-GEOD-8077	GSE8077GSM200591	Eleanor Williams	26/11/2014 21:28
organism part	knee articular cartilage	http://www.orpha.net/ORDO/Orphanet_263	E-GEOD-8077	GSE8077GSM200591	Eleanor Williams	26/11/2014 21:28
organism part	proximal colon	http://www.orpha.net/ORDO/Orphanet_262	E-GEOD-17438	GSM434935 1	Eleanor Williams	26/11/2014 21:28
organism part	proximal colon	http://www.orpha.net/ORDO/Orphanet_261	E-GEOD-6102	GSE6102GSM141504	Eleanor Williams	26/11/2014 21:28
phenotype	CD4 positive	http://www.orpha.net/ORDO/Orphanet_257	E-MEXP-1586	A127-02	Eleanor Williams	26/11/2014 21:28
phenotype	"CD4 positive, CD8 positive"	http://www.orpha.net/ORDO/Orphanet_256	E-MEXP-755	mice 1-KO	Eleanor Williams	26/11/2014 21:28
RNA	long non-polyA RNA	http://www.orpha.net/ORDO/Orphanet_255	E-GEOD-26284	GSM758561 1	Eleanor Williams	26/11/2014 21:28
RNA	long polyA RNA	http://www.orpha.net/ORDO/Orphanet_249	E-GEOD-26284	GSM758570 1	Eleanor Williams	26/11/2014 21:28
sex	mixed	http://www.orpha.net/ORDO/Orphanet_247	E-GEOD-41338	GSM1015150 1	Eleanor Williams	26/11/2014 21:28
sex	mixed_sex	http://www.orpha.net/ORDO/Orphanet_244	E-MEXP-1275	LiBD44pl.CEL	Eleanor Williams	26/11/2014 21:28
sex	mixed_sex	http://www.orpha.net/ORDO/Orphanet_232	E-MEXP-1513	wt-6	Eleanor Williams	26/11/2014 21:28
sex	mixed_sex	http://www.orpha.net/ORDO/Orphanet_226	E-TABM-695	KK Mouse 1	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	fresh_sample	http://www.orpha.net/ORDO/Orphanet_223	E-MEXP-1504	130w kidney 1	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	fresh_sample	http://www.orpha.net/ORDO/Orphanet_221	E-MEXP-1968	Csb 0.6J_1	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	fresh_sample	http://www.orpha.net/ORDO/Orphanet_220	E-MEXP-696	1C3unif6hr	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	fresh_sample	http://www.orpha.net/ORDO/Orphanet_216	E-MEXP-700	ET1_fibro1C	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	fresh_sample	http://www.orpha.net/ORDO/Orphanet_213	E-MTAB-73	FOXP3minus1	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	frozen_sample	http://www.orpha.net/ORDO/Orphanet_194	E-MEXP-1014	SW480 12-1 Control	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	frozen_sample	http://www.orpha.net/ORDO/Orphanet_188	E-MEXP-1314	TBP-105Qa	Eleanor Williams	26/11/2014 21:28
specimen with known storage state	frozen_sample	http://www.orpha.net/ORDO/Orphanet_186	E-TABM-426	Mus musculus male juvenile mixed genetic background 1	Eleanor Williams	26/11/2014 21:28
strain	B6/129	http://www.orpha.net/ORDO/Orphanet_183	E-GEOD-85	GSE85GSM2446	Eleanor Williams	26/11/2014 21:28
strain	Ler-0	http://www.orpha.net/ORDO/Orphanet_180	E-GEOD-30720	GSM762088 1	Eleanor Williams	26/11/2014 21:28
organism part	anther	http://www.orpha.net/ORDO/Orphanet_179	E-MTAB-2039	SRS266814	Eleanor Williams	08/12/2014 21:28
organism part	early inflorescence	http://www.orpha.net/ORDO/Orphanet_172	E-MTAB-2039	SRX100745	Eleanor Williams	08/12/2014 21:28
organism part	embryo	http://www.orpha.net/ORDO/Orphanet_171	E-MTAB-2039	SRS266817	Eleanor Williams	08/12/2014 21:28
organism part	emerging inflorescence	http://www.orpha.net/ORDO/Orphanet_166	E-MTAB-2039	SRX100743	Eleanor Williams	08/12/2014 21:28
organism part	leaf	http://www.orpha.net/ORDO/Orphanet_160	E-MTAB-2037	leaf	Eleanor Williams	08/12/2014 21:28
organism part	leaf	http://www.orpha.net/ORDO/Orphanet_158	E-MTAB-2039	SRS266811	Eleanor Williams	08/12/2014 21:28
organism part	pistil	http://www.orpha.net/ORDO/Orphanet_150	E-MTAB-2039	SRS266815	Eleanor Williams	08/12/2014 21:28
organism part	post-flowering panicle	http://www.orpha.net/ORDO/Orphanet_147	E-MTAB-2037	panicle_after_flowering	Eleanor Williams	08/12/2014 21:28
organism part	pre-flowering panicle	http://www.orpha.net/ORDO/Orphanet_146	E-MTAB-2037	panicle_before_flowering	Eleanor Williams	08/12/2014 21:28
organism part	primordial inflorescence	http://www.orpha.net/ORDO/Orphanet_145	E-MTAB-2039	SRS266813	Eleanor Williams	08/12/2014 21:28
organism part	root	http://www.orpha.net/ORDO/Orphanet_144	E-MTAB-2037	root	Eleanor Williams	08/12/2014 21:28
organism part	seed	http://www.orpha.net/ORDO/Orphanet_143	E-MTAB-2037	seed	Eleanor Williams	08/12/2014 21:28
organism part	seed	http://www.orpha.net/ORDO/Orphanet_137	E-MTAB-2039	SRS266816	Eleanor Williams	08/12/2014 21:28
organism part	seed 10 days after pollination	http://www.orpha.net/ORDO/Orphanet_136	E-MTAB-2039	SRX100755	Eleanor Williams	08/12/2014 21:28
organism part	seed 5 days after pollination	http://www.orpha.net/ORDO/Orphanet_131	E-MTAB-2039	SRX100749	Eleanor Williams	08/12/2014 21:28
organism part	shoot	http://www.orpha.net/ORDO/Orphanet_124	E-MTAB-2037	shoot	Eleanor Williams	08/12/2014 21:28
organism part	whole post-emergence inflorescence	http://www.orpha.net/ORDO/Orphanet_117	E-MTAB-2039	SRS266812	Eleanor Williams	08/12/2014 21:28
developmental stage	15 days post-anthesis	http://www.orpha.net/ORDO/Orphanet_116	E-MTAB-2809	ERS155524	Eleanor Williams	10/12/2014 21:28
developmental stage	4-day embyros dissected from germinating grains	http://www.orpha.net/ORDO/Orphanet_111	E-MTAB-2809	ERS155507	Eleanor Williams	10/12/2014 21:28
developmental stage	5 days post-anthesis	http://www.orpha.net/ORDO/Orphanet_110	E-MTAB-2809	ERS155513	Eleanor Williams	10/12/2014 21:28
developmental stage	developing inflorescence (1-1.5 centimeter)	http://www.orpha.net/ORDO/Orphanet_102	E-MTAB-2809	ERS155515	Eleanor Williams	10/12/2014 21:28
developmental stage	seedling (10 centimeter shoot stage)	http://www.orpha.net/ORDO/Orphanet_100	E-MTAB-2809	ERS155521	Eleanor Williams	10/12/2014 21:28
developmental stage	seedling (10 centimeter shoot stage)	http://www.orpha.net/ORDO/Orphanet_99	E-MTAB-2809	ERS155510	Eleanor Williams	10/12/2014 21:28
developmental stage	young developing inflorescence (5 millimeter)	http://www.orpha.net/ORDO/Orphanet_95	E-MTAB-2809	ERS155504	Eleanor Williams	10/12/2014 21:28
disease	active Crohn's disease	http://www.orpha.net/ORDO/Orphanet_94	E-MEXP-2083	CD_act_colon_124	Eleanor Williams	10/12/2014 21:28
disease	active ulcerative colitis	http://www.orpha.net/ORDO/Orphanet_92	E-MEXP-2083	UC_act_colon_219	Eleanor Williams	10/12/2014 21:28
disease	incipient Alzheimer's disease	http://www.orpha.net/ORDO/Orphanet_90	E-GEOD-1297	GSE1297GSM21204	Eleanor Williams	10/12/2014 21:28
disease	metastatic prostate cancer	http://www.orpha.net/ORDO/Orphanet_87	E-GEOD-3325	GSM74888 1	Eleanor Williams	10/12/2014 21:28
disease	moderate Alzheimer's disease	http://www.orpha.net/ORDO/Orphanet_84	E-GEOD-1297	GSE1297GSM21209	Eleanor Williams	10/12/2014 21:28
disease	non-active ulcerative colitis	http://www.orpha.net/ORDO/Orphanet_77	E-MEXP-2083	UC_nact_colon_103	Eleanor Williams	10/12/2014 21:28
disease	primary prostate cancer	http://www.orpha.net/ORDO/Orphanet_72	E-GEOD-3325	GSM74881 1	Eleanor Williams	10/12/2014 21:28
disease	severe Alzheimer's disease	http://www.orpha.net/ORDO/Orphanet_70	E-GEOD-1297	GSE1297GSM21203	Eleanor Williams	10/12/2014 21:28
disease	type 2 diabetes	http://www.orpha.net/ORDO/Orphanet_65	E-MEXP-2559	exp 1-1	Eleanor Williams	10/12/2014 21:28
organism part	embryo	http://www.orpha.net/ORDO/Orphanet_64	E-MTAB-2809	ERS155507	Eleanor Williams	10/12/2014 21:28
organism part	germinating embryo	http://www.orpha.net/ORDO/Orphanet_63	E-MTAB-2809	seq_assay_for_ERS155507	Eleanor Williams	10/12/2014 21:28
organism part	inflorescence (1 cm)	http://www.orpha.net/ORDO/Orphanet_61	E-MTAB-2809	seq_assay_for_ERS155515	Eleanor Williams	10/12/2014 21:28
organism part	inflorescence (5 mm)	http://www.orpha.net/ORDO/Orphanet_60	E-MTAB-2809	seq_assay_for_ERS155504	Eleanor Williams	10/12/2014 21:28
organism part	inforescence	http://www.orpha.net/ORDO/Orphanet_45	E-MTAB-2809	ERS155515	Eleanor Williams	10/12/2014 21:28
organism part	root	http://www.orpha.net/ORDO/Orphanet_43	E-MTAB-2809	ERS155521	Eleanor Williams	10/12/2014 21:28
